Cost Center,Item1,Item2,Frequency,Total Revenue
Hospital B,HASH BROWNS,TOPO CHICO TWIST OF LIME 20OZ,2,12.029999732971191
Hospital B,CHIPS MISS VICKIES SEA SALT VIN 1 3/8OZ,KIT KAT BAR,4,12.009999752044678
Hospital B,GRILL TOPPINGS,ROLD GOLD PRETZELS TINY TWISTS,4,12.009999752044678
Hospital B,FRENCH TOAST,OAK FARMS-2%,4,11.99999988079071
Hospital A,BROOKSIDE DARK CHOCOLATE,BROOKSIDE DC POMEGRANATE,1,11.989999771118164
Hospital B,2 FOR $2,FRESH FRUIT,2,11.980000019073486
Hospital A,BAR 10TH TEE CRANBERRY TRAIL MIX,CARVED DELI SHL,1,11.979999780654907
Hospital B,ENTREE 9.99,FSTG TORTILLA CHIPS JALAPENO,1,11.979999780654907
Hospital A,PASTA BOWL,SOUP 16OZ,1,11.979999780654907
Hospital A,ASIAN MIX IT UP,GRABEEZ MEXICALI FIRE,1,11.979999780654907
Hospital A,GREEK BOWL COMBO,SOUP 16OZ,1,11.979999780654907
Hospital B,SNACK BOX 2,TAILGATE.,1,11.979999780654907
Hospital A,CANDY LINDT LINDOR CARAMEL STICKS 1.3OZ,PASTA BOWL,1,11.979999780654907
Hospital A,BROOKSIDE BERRY MEDLEY,GREEK BOWL,1,11.979999780654907
Hospital A,BAR KIND MADAGASCAR VANILLA ALMOND,STIR FRY COMBO,1,11.979999780654907
Hospital A,ASIAN MIX IT UP,RED BULL SF 12OZ,2,11.979999780654907
Hospital B,BLUEBERRY AND GRANOLA PARFAIT,MEDITERRANEAN,1,11.979999780654907
Hospital A,POWER BOWL,RED BULL 12OZ TANGERINE,1,11.979999780654907
Hospital A,POWER BOWL COMBO,SAFFRON ROAD,1,11.979999780654907
Hospital A,ASIAN MIX IT UP,BVC-RED BULL BLUEBERRY,1,11.979999780654907
Hospital A,NOODLES,RED BULL 12OZ TANGERINE,1,11.979999780654907
Hospital A,BVC-RED BULL CRANBERRY,PASTA BOWL,1,11.979999780654907
Hospital B,BOTTLE FANTA STRAWBERRY 20OZ,ENTREE 5.99,1,11.979999542236328
Hospital A,BARK THINS ALMOND,NUTELLA,1,11.979999542236328
Hospital B,SALMON ENTRÉE,WRAP ROASTED TURKEY ON TOMATO BASIL,1,11.979999542236328
Hospital A,ENTREE 4.49,SALAD CHEF,1,11.979999542236328
Hospital B,SANDWICH EGG SALAD,SANDWICH TURKEY & SWISS ON CROISSANT,1,11.979999542236328
Hospital B,ENTREE 5.99,TACO TUESDAY,1,11.979999542236328
Hospital A,CARNIVAL NACHOS,PRETZEL & POPCORN,1,11.979999542236328
Hospital A,ENTREE PASTA,PIZZA ROLLS,2,11.979999542236328
Hospital B,SANDWICH PESTO CHICKEN SALAD ON CROISSANT,WRAP SOUTHWEST CHICKEN,1,11.979999542236328
Hospital B,SANDWICH HAM & CHEDDAR,WRAP SOUTHWEST CHICKEN,1,11.979999542236328
Hospital B,PARFAIT YOGURT STRAWBERRY & VANILLA,SALAD CHEF W/ RANCH,1,11.979999542236328
Hospital A,B&J TONIGHT DOUGH,BARK THINS PRETZEL,1,11.979999542236328
Hospital B,SANDWICH TURKEY & SWISS ON CROISSANT,WRAP THE BIG ITALY,1,11.979999542236328
Hospital B,GRL-TURKEY BURG,SALAD THE SIDE,1,11.979999542236328
Hospital A,ENTREE PASTA,NOODLES,2,11.979999542236328
Hospital B,SANDWICH TURKEY & SWISS ON CROISSANT,WRAP THE CLUB,1,11.979999542236328
Hospital B,SANDWICH PBJ GRANOLA,SANDWICH TURKEY & SWISS ON CROISSANT,1,11.979999542236328
Hospital B,SALAD LIL CAESAR,SALMON ENTRÉE,1,11.979999542236328
Hospital B,SALAD THE DELUXE GARDEN,SANDWICH EGG SALAD,1,11.979999542236328
Hospital B,SALAD THE DELUXE GARDEN,SANDWICH PBJ GRANOLA,1,11.979999542236328
Hospital B,CUBEPUMPKIN SPICE PRETZEL,SALMON ENTRÉE,1,11.979999542236328
Hospital B,SALAD THE SIDE,SANDWICH TURKEY & SWISS ON CROISSANT,1,11.979999542236328
Hospital A,ADD A BEVERAGE $1,KALE CHIPS 4OZ ORIGINAL,3,11.97000002861023
Hospital A,ADD A BEVERAGE $1,BVC-RED BULL BLUEBERRY 8.4,3,11.97000002861023
Hospital A,BROOKSIDE BERRY MEDLEY,FRUIT CUPS,1,11.97000002861023
Hospital B,BURGER CHEESE,SNACK BOX 2,1,11.97000002861023
Hospital A,TUNA ON WHEAT,TURKEY AND CHEESE SANDWICH,1,11.97000002861023
Hospital A,FRUIT CUPS,GRABEEZ SWEET CAROLINE 5.25OZ,1,11.97000002861023
Hospital A,FRUIT CUPS,TROPICAL VEGETABLE CHIPS,1,11.97000002861023
Hospital B,CARVED-DELI,COFFEE 16OZ,2,11.96999979019165
Hospital B,IMPOSSIBLE BURGER ALONE,QUESADILLA CHEESE,1,11.96999979019165
Hospital A,2 FOR 2.49,CARNIVAL NACHOS,1,11.96999979019165
Hospital B,FSTG MULTIGRAIN,SABOR CAFE,2,11.96999979019165
Hospital A,2 FOR 2.49,B&J-NETFLIX & CHILLED,1,11.96999979019165
Hospital A,2 FOR 2.49,B&J AMERICONE,1,11.96999979019165
Hospital B,BEANFEILDS JALAPENO,PASTA STATION,1,11.96999979019165
Hospital A,B&J CHERRY GARCIA,SMALL GARDEN SALAD,1,11.96999979019165
Hospital B,MILK SILK SOYMILK CHOCOLATE 8.25OZ,TAILGATE.,2,11.96999979019165
Hospital A,POWER BOWL,PUMPKIN MUFFIN,1,11.96999979019165
Hospital B,LARGE M&M COOKIE,WRAP SONOMA CHICKEN SALAD,2,11.969999551773071
Hospital B,QUESADILLA MEAT,TRUMOO CHOCOLATE MILK,1,11.969999551773071
Hospital B,LARGE M&M COOKIE,SALAD LIL CAESAR,2,11.969999551773071
Hospital B,BAR NUTRI GRAIN APPLE CINNAMON,J&O CHICKEN BLT,1,11.969999551773071
Hospital B,FSTG TORTILLA CHIPS JALAPENO,SNACK CUP  CHICKEN SALAD,2,11.969999551773071
Hospital A,BOOM CHICKA POP REAL BUTTER,ENTREE 4.59,2,11.960000276565552
Hospital B,CHEETOS FLAMIN HOT,PIZZA PERSONAL CHEESE,2,11.960000276565552
Hospital B,COFFEE 12OZ,CORE POWER HP MILK SHAKE VAN 14 OZ,2,11.960000276565552
Hospital B,COKE ZERO BOTTLE 20 OZ,CORE POWER HP MILK SHAKE VAN 14 OZ,2,11.960000276565552
Hospital B,CHIP DORITO COOL RANCH 1.74OZ,PIZZA PERSONAL CHEESE,2,11.960000276565552
Hospital B,BOTTLE SPRITE 20OZ,BURGER TURKEY,1,11.960000276565552
Hospital B,BURGER TURKEY,MINUTE MAID CRANBERRY GRAPE,2,11.960000276565552
Hospital A,BAR THATS IT APPLE/STRAWBERRY,KIND PLUS POM/BLBRY/PIST/ANTIOX,2,11.960000038146973
Hospital B,MUFFIN SANDWICH,WATER SMARTWATER ALKALINE 33.8OZ,2,11.960000038146973
Hospital B,SANDWICH CHICKEN BREAST,WATER VITAMINWATER POWER C DRAGONFRUIT 20OZ,2,11.960000038146973
Hospital A,RED BULL 12OZ,TATOR TOTS,2,11.960000038146973
Hospital B,BLUEBERRY AND GRANOLA PARFAIT,ONION RINGS,2,11.960000038146973
Hospital A,CAN RED BULL ENERGY DRINK SUGAR FREE 8.4OZ,CHOC BAG 2.99,2,11.960000038146973
Hospital A,CAN RED BULL ENERGY DRINK SF 8.4OZ,CAN RED BULL ENERGY DRINK SUGAR FREE 8.4OZ,1,11.960000038146973
Hospital B,FRESH FRUIT,RECHARGEDRINK,2,11.960000038146973
Hospital A,CAN RED BULL ENERGY DRINK SUGAR FREE 8.4OZ,SMALL GARDEN SALAD,2,11.960000038146973
Hospital B,LARGE M&M COOKIE,OMELET,2,11.960000038146973
Hospital B,MILK SILK SOYMILK VANILLA 8.25OZ,OMELET,2,11.960000038146973
Hospital B,BLUEBERRY AND GRANOLA PARFAIT,FRIES,2,11.960000038146973
Hospital A,PUMPKIN SPICE CUPCAKE,RED BULL SF 12OZ,2,11.960000038146973
Hospital B,AHA-ORANGE& GRPFRUIT,BURGER CHEESE,1,11.960000038146973
Hospital A,BAR THATS IT APPLE/STRAWBERRY,IMP-MARICH SEA SALT CARAMEL,2,11.960000038146973
Hospital A,GRIL LVEGGIE QUESADILLA,PUMPKIN SPICE CUPCAKE,2,11.960000038146973
Hospital B,FRESH FRUIT,MUFFIN REGULAR,2,11.960000038146973
Hospital A,TATOR TOTS,TGF SWEET HEAT,2,11.960000038146973
Hospital A,BOILED EGG CUP,CHOC BAG 2.99,2,11.960000038146973
Hospital B,FRESH FRUIT,PLANTERS- TROPICAL FRUIT & NUT,2,11.960000038146973
Hospital A,RED BULL 12OZ TANGERINE,TATOR TOTS,2,11.960000038146973
Hospital B,BEANFIELDS PICO DE GALLO,OMELET,2,11.959999918937683
Hospital B,ENTREE 4.29,MUFFIN REGULAR,2,11.959999918937683
Hospital B,COOKIE NABISCO FIG NEWTON 2 CNT,WRAP BUFFALO CHICKEN,2,11.959999561309814
Hospital B,COOKIE NABISCO FIG NEWTON 2 CNT,SALAD THE SIDE,2,11.959999561309814
Hospital B,BREAD .99,SANDWICH EGG SALAD,2,11.959999561309814
Hospital B,COOKIE NABISCO FIG NEWTON 2 CNT,WRAP ROASTED TURKEY ON TOMATO BASIL,2,11.959999561309814
Hospital B,MILK TRUMOO CHOCOLATE 8OZ,WRAP THE CLUB,2,11.959999561309814
Hospital B,CHIP LAYS PLAIN,SANDWICH CHICKEN BREAST,2,11.950000166893005
Hospital A,BREAKFAST SANDWICH,SNICKERS TREE,2,11.950000166893005
Hospital B,FRIES,KIND CHOCOLATE SEA SALT,2,11.950000047683716
Hospital B,BAKED SWEET POTATO,PANCAKE SPECIAL,1,11.950000047683716
Hospital A,GRABEEZ MEXICALI FIRE,RICE KRISPIES,1,11.950000047683716
Hospital A,BVC-RED BULL BLUEBERRY,RICE KRISPIES,1,11.950000047683716
Hospital A,COOKIES,JUICE SIMPLY ORANGE JUICE 11.5,3,11.949999928474426
Hospital B,BREAD .99,PASTA STATION,3,11.949999809265137
Hospital B,AHA-CITRUS& G. TEA,GRILLED HAM & CHEESE,1,11.949999809265137
Hospital A,ENTREE 4.49,GHIRARDELLI DARK CHOCOLATE SEA SALT,2,11.949999570846558
Hospital B,OAK FARMS WHOLE 8OZ,SANDWICH CHICKEN BREAST,2,11.940000295639038
Hospital B,BREAKFAST TACO,FRITO CORN CHIPS,3,11.940000057220459
Hospital B,BOTTLEAHA SPARKLING LM/WATERMELOM,SIDE 1.99,4,11.940000057220459
Hospital B,AHA-CITRUS& G. TEA,BOTTLEAHA SPARKLING BERRY/POM,3,11.940000057220459
Hospital B,BISCUIT W/GRAVY,BOTTLE GOLD PEAK SWEETENED ICED TEA 18.5OZ,1,11.940000057220459
Hospital A,2 FOR 2.49,RICE KRISPIES TREAT ORIGINAL,2,11.940000057220459
Hospital B,DASANI WATER 20OZ,NUT HARVEST WHOLE CASHEWS,3,11.940000057220459
Hospital B,BOTTLE COKE DIET 20OZ,CHEESY FRIES,2,11.940000057220459
Hospital B,AGUA FRESCA,SOUP 8 OZ,2,11.940000057220459
Hospital B,BVC -TOPOCHICO MINERAL WATER-20OZ,YOGURT YOPLAIT BLUEBERRY REG,3,11.940000057220459
Hospital B,MILK SILK SOYMILK VANILLA 8.25OZ,SIDE 1.99,3,11.940000057220459
Hospital B,FOUNTAIN DRINK 16OZ,HOT DOG,1,11.940000057220459
Hospital B,KIND CHOCOLATE SEA SALT,WHOLE FRUIT 1 PC,2,11.940000057220459
Hospital B,CHIP LAYS PLAIN,COFFEE 20OZ,2,11.93999981880188
Hospital B,CHIP LAYS PLAIN,GOLD PEAK-EXTRA SWEET,3,11.93999969959259
Hospital B,BOTTLE GOLD PEAK SWEETENED ICED TEA 18.5OZ,CHIP DORITOS NACHO CHEESE,3,11.93999969959259
Hospital B,ENT-BAKED POTATO,MINUTE MAID CRANBERRY GRAPE,3,11.93999969959259
Hospital B,BOTTLE GOLD PEAK UNSWEETENED ICED TEA 18.5OZ,CHIP DORITOS NACHO CHEESE,3,11.93999969959259
Hospital B,BOTTLE GOLD PEAK GREEN ICED TEA 18.5OZ,CHIPS MISS VICKIES SEA SALT VIN 1 3/8OZ,3,11.93999969959259
Hospital B,FRIES SWEET POTATO,RICE KRISPIE BITES,2,11.9399995803833
Hospital B,BELVITA BLUE BERRY BREAKFAST BAR,WATER VITAMINWATER FOCUS KIWI STRAW 20OZ,2,11.9399995803833
Hospital B,COOKIE NABISCO FIG NEWTON 2 CNT,SOUP 8 OZ,4,11.920000076293945
Hospital B,BELVITA GOLDEN OAT,HOME FRIES,2,11.920000076293945
Hospital B,DOG TREATS,SIDE 1.99,4,11.920000076293945
Hospital B,COFFEE 16OZ,TRUMOO CHOCOLATE MILK,4,11.920000076293945
Hospital B,BELVITA GOLDEN OAT,HASH BROWNS,2,11.920000076293945
Hospital A,RICE KRISPIES TREAT ORIGINAL,TATOR TOTS,4,11.920000076293945
Hospital B,CANDY REESE PEANUT BUTTER CUPS,CHEETOS CRUNCHY,3,11.909999966621399
Hospital B,CHIP DORITOS NACHO CHEESE,SAUSAGE PATTY,2,11.90999972820282
Hospital B,CHIP DORITO COOL RANCH 1.74OZ,SAUSAGE PATTY,3,11.90999972820282
Hospital B,BREAD .99,CHIPS MISS VICKIES JAL 1 3/8OZ,5,11.899999976158142
Hospital B,CEREAL HOT 8OZ,OAK FARMS-2%,6,11.880000114440918
Hospital B,BAR NUTRI GRAIN STRAWBERRY,BISCUIT,3,11.880000114440918
Hospital B,PASTA STATION,SANDWICH CHICKEN BREAST,1,11.879999876022339
Hospital A,SAUSAGE AND EGG BURRITO,SUPERFOOD SALAD,1,11.87999963760376
Hospital A,ENTREE 4.59,MARICH CHOCOLATE ESPRESSO BEANS,1,11.87000036239624
Hospital A,BUFFLO CHXN PIZZA,FRUIT CUPS,1,11.870000123977661
Hospital B,BURGER,PASTA BULK,1,11.869999885559082
Hospital B,BOTTLE DR. PEPPER DIET 20OZ,SALAD LIL CAESAR,2,11.869999527931213
Hospital B,J&O CHICKEN BLT,MINUTE MAID APPLE 12 OZ.,1,11.869999527931213
Hospital B,DANISH REGULAR,WATER SMARTWATER ANTI OX 33.8OZ,1,11.860000133514404
Hospital B,GOLD PEAK TEA,SANDWICH PBJ GRANOLA,1,11.859999656677246
Hospital B,GOLD PEAK TEA,WRAP THE CLUB,1,11.859999656677246
Hospital B,GOLD PEAK TEA,WRAP BUFFALO CHICKEN,1,11.859999656677246
Hospital B,GRILLSPECIAL7.99,RECHARGECOOKIE,1,11.859999656677246
Hospital B,GOLD PEAK TEA,SALAD LIL CAESAR,1,11.859999656677246
Hospital B,GOLD PEAK TEA,WRAP THE BIG ITALY,1,11.859999656677246
Hospital B,GOURMET CUPCAKES7.99,RECHARGECOOKIE,1,11.859999656677246
Hospital B,GOLD PEAK TEA,SANDWICH EGG SALAD,1,11.859999656677246
Hospital A,BREAKFAST BISCUIT,GRITS MEDIUM,2,11.850000381469727
Hospital B,CHEESY FRIES,GOURMET CAKE,2,11.850000143051147
Hospital B,CANDY M & M PEANUT,OMELET,2,11.849999904632568
Hospital B,PANCAKE SPECIAL,REFRIED BEANS,2,11.849999904632568
Hospital B,BOTTLE DR. PEPPER DIET 20OZ,ENT-BAKED POTATO,3,11.839999794960022
Hospital B,CORE POWER HP MILK SHAKE VAN 14 OZ,HASH BROWNS,2,11.829999923706055
Hospital B,CHORIZO,MILK TRUMOO CHOCOLATE 8OZ,3,11.819999933242798
Hospital A,2 FOR 2.49,BEANFIELDS WHITE BEAN SEA SALT,2,11.789999723434448
Hospital A,SANDWICH BFK BURRITO CHORIZO,SUPERFOOD SALAD,1,11.779999732971191
Hospital A,BROOKSIDE ACAI & BLUEBERRY,SANDWICHGREEK CHICKENPITA,1,11.779999732971191
Hospital A,CHICHARRONES CLASSIC CHILI & SALT,POWER BOWL,1,11.779999732971191
Hospital B,ENTREE 4.29,SALAD SOUTHWEST CHICKEN,1,11.779999732971191
Hospital A,B&J TONIGHT DOUGH,BROOKSIDE ACAI & BLUEBERRY,1,11.779999732971191
Hospital B,GRL-TURKEY BURG,PIZZA PERSONAL MEAT,1,11.779999732971191
Hospital A,CARVED DELI SHL,CHICHARRONES SMOKEHOUSE BBQ,1,11.779999732971191
Hospital A,SPECIALTY BURGER,SUPERFOOD SALAD,1,11.779999732971191
Hospital B,PIZZA PERSONAL MEAT,SALMON ENTRÉE,1,11.779999732971191
Hospital A,ENTREE 4.59,PUMPKIN TURNOVER,1,11.770000219345093
Hospital A,BEANFIELDS BLACK BEAN,ENTREE 4.59,1,11.770000219345093
Hospital A,CHICHARRONES SMOKEHOUSE BBQ,FRUIT CUPS,1,11.769999980926514
Hospital A,BARK THINS ALMOND,RIP VAN WAFEL CARAMEL VANILLA,1,11.769999980926514
Hospital A,CHICHARRONES JALAPENO CHEDDAR,FRUIT CUPS,1,11.769999980926514
Hospital B,BOTTLE DR. PEPPER 20OZ,SABOR CAFE,1,11.769999742507935
Hospital B,BOTTLE DR. PEPPER 20OZ,CUCINA ITALIANO,1,11.769999742507935
Hospital B,COFFEE 12OZ,SABOR CAFE,1,11.769999742507935
Hospital A,GARLIC KNOTS,MIX IT UP COMBO,1,11.769999742507935
Hospital A,ADD A BEVERAGE $1,GERMAN BRATWURSTS,3,11.769999742507935
Hospital B,COFFEE 12OZ,NOODLE SHOP,1,11.769999742507935
Hospital B,BOTTLE DR. PEPPER 20OZ,PASTA STATION,1,11.769999742507935
Hospital B,BOTTLE SPRITE 20OZ,TAILGATE.,1,11.769999742507935
Hospital B,BOTTLE SPRITE 20OZ,SABOR CAFE,1,11.769999742507935
Hospital B,COFFEE 12OZ,TAILGATE.,1,11.769999742507935
Hospital A,GARLIC KNOTS,PASTA BOWL,1,11.769999742507935
Hospital B,BOTTLE SPRITE 20OZ,MIX IT UP SALAD,1,11.769999742507935
Hospital B,BOTTLEAHA SPARKLING LM/WATERMELOM,SANDWICH CHICKEN BREAST,2,11.760000228881836
Hospital B,COOKIES NUTTER BUTTER 1.9Z S S NAB,PIZZA PERSONAL CHEESE,2,11.760000228881836
Hospital B,BELVITA BLUE BERRY BREAKFAST BAR,CORE POWER HP MILK SHAKE CHOC 14 OZ,2,11.760000228881836
Hospital B,CORE POWER HP MILK SHAKE VAN 14 OZ,DANNON OIKOS PLAIN,2,11.760000228881836
Hospital B,BAR KIND CRANBERRY ALMOND,WATER SMARTWATER ALKALINE 33.8OZ,2,11.760000228881836
Hospital B,KIND CHOCOLATE SEA SALT,WATER SMARTWATER ALKALINE 33.8OZ,3,11.760000228881836
Hospital B,BOTTLE COKE,FRESH FRUIT,2,11.759999990463257
Hospital B,COFFEE 12OZ,OUTTAKES STRAWBERRY YOGURT AND GRAN PARFAIT,1,11.759999990463257
Hospital A,BOTTLE POWERADE ION4 FRUIT PUNCH 20OZ,FRUIT CUPS,1,11.759999990463257
Hospital B,BOTTLE COKE DIET 20OZ,BREAKFAST SPECIAL 2,1,11.759999990463257
Hospital B,BOTTLE FANTA ORANGE 20OZ,FRESH FRUIT,2,11.759999990463257
Hospital B,FRESH FRUIT,MINUTE MAID APPLE 12 OZ.,1,11.759999990463257
Hospital A,BEANFIELDS NACHO,MICHEL ET AUGUSTINCARAMEL,2,11.759999752044678
Hospital A,BAR THATS IT APPLE/BLUEBERRY,BEANFIELDS BLACK BEAN,2,11.759999752044678
Hospital A,BEANFIELDS NACHO,MICHEL ET AUGUSTINHAZELNUT,2,11.759999752044678
Hospital B,DESSERT STRAWBERRY SHORTCAKE,GOLD PEAK-EXTRA SWEET,2,11.759999752044678
Hospital A,BAR LARABAR APPLE PIE 1.6OZ,BAR THATS IT APPLE/BLUEBERRY,2,11.759999752044678
Hospital A,MICHEL ET AUGUSTINCARAMEL,MONSTER ENERGY ZERO ULTRA,2,11.759999752044678
Hospital B,BOTTLE GOLD PEAK DIET ICED TEA 18.5OZ,CHICKEN BREAST GRILLED,2,11.759999752044678
Hospital B,BOTTLE GOLD PEAK SWEETENED ICED TEA 18.5OZ,DESSERT VANILLA GODDESS,2,11.759999752044678
Hospital B,BOTTLEAHA SPARKLING LM/WATERMELOM,WATER SMARTWATER ANTI OX 33.8OZ,2,11.750000238418579
Hospital B,FSTG TORTILLA CHIPS JALAPENO,WATER SMARTWATER ANTI OX 33.8OZ,2,11.750000238418579
Hospital B,AHA-ORANGE& GRPFRUIT,WATER SMARTWATER ANTI OX 33.8OZ,2,11.750000238418579
Hospital A,CHICHARRONES SMOKEHOUSE BBQ,RICE KRISPIES,1,11.75
Hospital B,DANISH REGULAR,FRENCH TOAST,1,11.75
Hospital A,CHOC BAG 2.99,CRANBERRY BLONDIE,2,11.75
Hospital B,BAKED SWEET POTATO,COFFEE 12OZ,1,11.740000009536743
Hospital A,BOTTLE POWERADE ION4 FRUIT PUNCH 20OZ,RICE KRISPIES,1,11.740000009536743
Hospital B,CHEETOS CRUNCHY,DESSERT VANILLA GODDESS,2,11.740000009536743
Hospital B,BAKED SWEET POTATO,BOTTLE DR. PEPPER 20OZ,1,11.740000009536743
Hospital B,COFFEE 20OZ,SNICKERS BAR,2,11.739999771118164
Hospital B,COFFEE 20OZ,GRILL TOPPINGS,2,11.739999771118164
Hospital A,ADD A BEVERAGE $1,LEMON WAFER BITES,4,11.739999771118164
Hospital B,COFFEE 20OZ,NABISCO OREO,1,11.739999771118164
Hospital B,WATER VITAMINWATER XXX 20OZ,YOGURT YOPLAIT STRAWBERRY,2,11.739999771118164
Hospital B,DESSERT OREO DELIGHT,HASH BROWNS,2,11.739999771118164
Hospital B,BOTTLE SPRITE 20OZ,CHIP LAYS PLAIN,3,11.729999899864197
Hospital B,HASH BROWNS,LARGE M&M COOKIE,3,11.71999979019165
Hospital B,HARD BOILED EGG,MILK SILK SOYMILK VANILLA 8.25OZ,2,11.71999979019165
Hospital B,AHA-ORANGE& GRPFRUIT,HARD BOILED EGG,2,11.71999979019165
Hospital A,MARICH CHOCOLATE ESPRESSO BEANS,MIX IT UP COMBO,1,11.679999828338623
Hospital A,REINDEER FOOD,WHOLE AVOCADO,1,11.670000076293945
Hospital B,FRIES SWEET POTATO,SALAD THE COBB,1,11.669999599456787
Hospital B,SALAD THE DELICIOUS SPINACH,WATER VITAMINWATER POWER C DRAGONFRUIT 20OZ,1,11.669999599456787
Hospital B,SALAD THE COBB,WATER VITAMINWATER FOCUS KIWI STRAW 20OZ,1,11.669999599456787
Hospital B,SALAD THE COBB,WATER VITAMINWATER XXX 20OZ,1,11.669999599456787
Hospital B,BAKED LAYS,SALAD CHICKEN CAESAR,1,11.65999972820282
Hospital B,BAKED LAYS,SALAD FARMSTAND,1,11.65999972820282
Hospital B,COMBO HALF & HALF,ENT-BAKED POTATO,2,11.65999960899353
Hospital A,FRIED PICKLES,SOFT PRETZELS,1,11.650000095367432
Hospital B,DESSERT OREO DELIGHT,FRIES SWEET POTATO,2,11.649999618530273
Hospital B,CHIPS SUN HRVST CHEDDAR,GOURMET CAKE,3,11.639999985694885
Hospital B,ENT -PREMIUM SIDE 1.39,NUT HARVEST MIXED NUTS,3,11.639999985694885
Hospital B,MINUTE MAID PEACH MANGO,ONION RINGS,3,11.639999985694885
Hospital B,BOTTLE SPRITE ZERO 20OZ.,SOUP 8 OZ,3,11.639999985694885
Hospital B,ADD BURGER PATTY,CHIP BAKED LAYS PLN,3,11.639999985694885
Hospital B,MUNCH,TRAIL MIX PLANTERS SPICY CAJUN 2OZ,2,11.639999985694885
Hospital B,BOTTLE GOLD PEAK LEMON ICED TEA 18.5OZ,CANDY M & M PEANUT,3,11.639999628067017
Hospital B,BOTTLE GOLD PEAK LEMON ICED TEA 18.5OZ,COOKIES NUTTER BUTTER 1.9Z S S NAB,3,11.639999628067017
Hospital B,GRILL TOPPINGS,KIT KAT BAR,4,11.609999656677246
Hospital B,BISQUIT SANDWICH,CEREAL HOT 8OZ,8,11.600000143051147
Hospital A,2 FOR 2.49,B&J HALF BAKED,1,11.589999675750732
Hospital A,2 FOR 2.49,SANDWICHGREEK CHICKENPITA,1,11.589999675750732
Hospital A,PEPPEMINT CLIFF BAR,REINDEER FOOD,1,11.580000162124634
Hospital B,SALAD THE GREEK,TURKEY MELT,1,11.579999923706055
Hospital B,PIZZA PERSONAL CHEESE,SANDWICH TURKEY & SWISS ON CROISSANT,1,11.579999923706055
Hospital B,CORE POWER HP MILK SHAKE VAN 14 OZ,SALAD THE DELICIOUS SPINACH,1,11.579999923706055
Hospital B,CORE POWER HP MILK SHAKE CHOC 14 OZ,SALAD THE DELICIOUS SPINACH,1,11.579999923706055
Hospital B,CORE POWER HP MILK SHAKE VAN 14 OZ,SALAD CHICKEN CAESAR,1,11.579999923706055
Hospital A,PASTA BOWL,PUMPKIN TURNOVER,1,11.579999685287476
Hospital A,BEANFIELDS NACHO,PASTA BOWL,1,11.579999685287476
Hospital A,CHAI HOT CHOCOLATE,PASTA BOWL,1,11.579999685287476
Hospital A,BEANFIELDS NACHO,POWER BOWL COMBO,1,11.579999685287476
Hospital B,PASTA STATION,PIZZA 1 SLICE MEAT,1,11.579999685287476
Hospital A,ASIAN MIX IT UP,CLIF BAR PUMPKIN PIE,1,11.579999685287476
Hospital A,GREEK BOWL COMBO,PUMPKIN TURNOVER,1,11.579999685287476
Hospital B,CHICKEN TENDERS 3,SABOR CAFE,1,11.579999685287476
Hospital A,JUICE SIMPLY ORANGE JUICE 11.5,NOODLES,1,11.579999685287476
Hospital A,BEANFIELDS WHITE BEAN SEA SALT,PASTA BOWL,1,11.579999685287476
Hospital A,BEANFIELDS NACHO,STIR FRY COMBO,1,11.579999685287476
Hospital A,BEANFIELDS BLACK BEAN,GREEK BOWL COMBO,1,11.579999685287476
Hospital A,FRUIT CUPS,JUICE SIMPLY ORANGE JUICE 11.5,1,11.569999933242798
Hospital B,PIZZA 1 SLICE MULTIPLE TOPPINGS,QUESADILLA MEAT,1,11.569999933242798
Hospital B,ENTREE 4.79,SNACK BOX 4,2,11.569999933242798
Hospital A,MICHEL ET AUGUSTINCARAMEL,PRETZEL & POPCORN,1,11.569999694824219
Hospital A,PRETZEL & POPCORN,SOFT PRETZELS,1,11.569999694824219
Hospital A,BARK THINS PRETZEL,ICE CREAM BAR COOKIE DOUGH,1,11.569999694824219
Hospital B,COFFEE 20OZ,SANDWICH TURKEY & SWISS ON CROISSANT,1,11.569999694824219
Hospital B,BACON 3 SLICES,GRL-TURKEY BURG,1,11.569999694824219
Hospital A,CARVED DELI SHL,CHOCOLATE CUPCAKE,1,11.569999694824219
Hospital A,GH-MAGNUM ALMOND,KING CONE CHOCO VANILLA,2,11.5600004196167
Hospital A,ADD A BEVERAGE $1,BAGELS,2,11.5600004196167
Hospital B,MINUTE MAID APPLE 12 OZ.,SANDWICH CHICKEN BREAST,2,11.56000018119812
Hospital B,ENTREE 4.79,MILK TRUMOO CHOCOLATE 8OZ,2,11.559999942779541
Hospital B,BREAKFAST TACO,MUFFIN JUMBO,1,11.559999942779541
Hospital B,PIZZA 1 SLICE MULTIPLE TOPPINGS,TOPO CHICO TWIST OF LIME 20OZ,1,11.559999942779541
Hospital B,BVC -TOPOCHICO MINERAL WATER-20OZ,DUNKIN FRENCH VANILLA,2,11.559999942779541
Hospital B,ENTREE 4.29,YOPLAIT YOGURT LITE,2,11.559999942779541
Hospital A,MICHEL ET AUGUSTINCARAMEL,SPECIALITY EGGS,2,11.559999942779541
Hospital B,ADD BURGER PATTY,DESSERT STRAWBERRY SHORTCAKE,2,11.559999942779541
Hospital B,PARFAIT YOGURT BLUEBERRIES & GRANOLA,REFRIED BEANS,2,11.559999465942383
